,pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
1118,3,male,25.0,0,0,7.925,,S,Mr
44,1,female,41.0,0,0,134.5,E40,C,Miss
1072,3,male,,0,0,7.7333,,Q,Mr
1130,3,female,18.0,0,0,7.775,,S,Miss
574,2,male,29.0,1,0,21.0,,S,Mr
1217,3,male,19.0,0,0,7.65,F,S,Mr
500,2,male,46.0,0,0,26.0,,S,Mr
958,3,female,,0,4,25.4667,,S,Mrs
269,1,male,,0,0,26.0,A19,S,Mr
322,1,female,36.0,0,0,135.6333,C32,C,Miss
703,3,male,21.0,0,0,7.75,,Q,Mr
668,3,male,22.0,0,0,8.05,,S,Mr
1221,3,male,,0,0,7.8958,,S,Mr
333,2,female,36.0,0,0,13.0,D,S,Mrs
465,2,female,23.0,0,0,13.7917,D,C,Mrs
195,1,female,16.0,0,0,86.5,B79,S,Miss
955,3,female,,3,1,25.4667,,S,Miss
1265,3,female,10.0,0,2,24.15,,S,Miss
70,1,male,,0,0,0.0,,S,Mr
682,3,female,,0,2,7.75,,Q,Miss
10,1,male,47.0,1,0,227.525,C62,C,Other
828,3,female,10.0,5,2,46.9,,S,Miss
1008,3,female,35.0,0,0,7.75,,Q,Miss
893,3,male,29.0,0,0,7.8542,,S,Mr
1259,3,male,36.0,0,0,7.8958,,S,Mr
1148,3,male,35.0,0,0,7.125,,S,Mr
479,2,female,3.0,1,2,41.5792,,C,Miss
64,1,male,27.0,1,0,53.1,E8,S,Mr
862,3,female,22.0,0,0,8.9625,,S,Miss
1164,3,male,,0,0,7.2292,,C,Mr
536,2,female,32.0,0,0,13.0,,S,Mrs
987,3,female,,0,0,7.8792,,Q,Miss
440,2,female,48.0,1,2,65.0,,S,Mrs
1073,3,male,,0,0,7.75,,Q,Mr
1247,3,female,,1,0,16.1,,S,Mrs
1102,3,male,7.0,4,1,39.6875,,S,Master
799,3,male,18.0,0,0,7.7958,,S,Mr
1252,3,male,44.0,0,0,8.05,,S,Mr
530,2,male,19.0,0,0,10.5,,S,Mr
726,3,female,30.0,0,0,7.6292,,Q,Miss
1241,3,male,,1,0,6.4375,,C,Mr
722,3,male,24.0,0,0,7.4958,,S,Mr
1257,3,female,9.0,1,1,15.2458,,C,Miss
688,3,male,29.0,1,0,7.0458,,S,Mr
308,1,female,55.0,0,0,135.6333,C32,C,Mrs
1298,3,male,36.0,0,0,9.5,,S,Mr
1013,3,female,,0,0,8.05,,S,Miss
990,3,male,29.0,0,0,7.925,,S,Mr
131,1,female,45.0,0,1,59.4,,C,Mrs
15,1,male,,0,0,25.925,,S,Mr
1115,3,male,,0,0,7.775,,S,Mr
432,2,male,62.0,0,0,10.5,,S,Mr
789,3,male,,0,0,7.225,,C,Mr
575,2,female,27.0,1,0,21.0,,S,Mrs
1092,3,male,20.0,0,0,8.6625,,S,Mr
187,1,female,16.0,0,1,39.4,D28,S,Miss
191,1,male,30.0,0,0,45.5,,S,Mr
103,1,female,38.0,0,0,227.525,C45,C,Miss
970,3,male,20.0,1,0,7.925,,S,Mr
60,1,male,36.0,1,0,78.85,C46,S,Mr
692,3,female,18.5,0,0,7.2833,,Q,Miss
364,2,male,19.0,0,0,13.0,,S,Mr
494,2,female,24.0,1,1,37.0042,,C,Mrs
708,3,male,24.0,0,0,7.8542,,S,Mr
646,3,female,38.0,1,5,31.3875,,S,Mrs
1278,3,male,20.0,0,0,7.8542,,S,Mr
747,3,male,0.3333,0,2,14.4,,S,Master
565,2,male,25.0,0,0,13.0,,S,Mr
82,1,female,36.0,0,2,71.0,B22,S,Miss
567,2,male,25.0,0,0,10.5,,S,Mr
863,3,male,28.0,0,0,7.8958,,S,Mr
818,3,female,16.0,0,0,7.7333,,Q,Miss
399,2,male,42.0,1,1,32.5,,S,Mr
923,3,female,,0,0,7.75,,Q,Miss
252,1,male,61.0,1,3,262.375,B57,C,Mr
742,3,male,45.0,0,0,8.05,,S,Mr
311,1,female,45.0,1,1,164.8667,,S,Mrs
811,3,female,48.0,1,3,34.375,,S,Mrs
113,1,female,23.0,3,2,263.0,C23,S,Miss
672,3,male,,0,0,7.2292,,C,Master
249,1,male,13.0,2,2,262.375,B57,C,Master
529,2,female,50.0,0,1,26.0,,S,Mrs
263,1,female,39.0,1,0,55.9,E44,S,Mrs
1158,3,female,41.0,0,2,20.2125,,S,Mrs
1099,3,female,8.0,3,1,21.075,,S,Miss
271,1,male,24.0,1,0,82.2667,B45,S,Mr
1194,3,male,,0,0,7.8958,,S,Mr
579,2,male,23.0,1,0,10.5,,S,Mr
122,1,female,22.0,0,2,49.5,B39,C,Miss
590,2,female,0.9167,1,2,27.75,,S,Miss
946,3,male,,0,0,56.4958,,S,Mr
805,3,male,,0,0,56.4958,,S,Mr
16,1,male,24.0,0,1,247.5208,B58,C,Mr
1280,3,male,22.0,0,0,7.8958,,S,Mr
548,2,male,0.8333,1,1,18.75,,S,Master
613,3,male,26.0,0,0,18.7875,,C,Mr
1076,3,female,,0,0,7.75,,Q,Other
740,3,male,17.0,0,0,8.6625,,S,Mr
808,3,male,,0,0,8.05,,S,Mr
351,2,male,60.0,1,1,39.0,,S,Mr
517,2,male,26.0,0,0,13.0,F2,S,Mr
1157,3,male,18.0,1,1,20.2125,,S,Mr
936,3,female,26.0,1,1,22.025,,S,Mrs
467,2,female,24.0,1,0,26.0,,S,Mrs
97,1,female,27.0,1,1,247.5208,B58,C,Mrs
1003,3,male,,2,0,23.25,,Q,Mr
1253,3,male,,0,0,7.2292,,C,Mr
1140,3,male,21.0,0,0,8.05,,S,Mr
196,1,male,,0,0,29.7,C47,C,Mr
883,3,male,20.0,0,0,7.8542,,S,Mr
183,1,male,35.0,0,0,512.3292,B101,C,Mr
1270,3,male,28.0,0,0,9.5,,S,Mr
431,2,male,28.0,0,1,33.0,,S,Other
526,2,male,29.0,0,0,13.8583,,C,Mr
815,3,male,,0,0,14.5,,S,Mr
933,3,male,26.0,2,0,8.6625,,S,Mr
1206,3,male,4.0,3,2,27.9,,S,Master
175,1,male,41.0,1,0,51.8625,D21,S,Mr
1292,3,male,,0,0,7.55,,S,Mr
81,1,male,70.0,1,1,71.0,B22,S,Other
267,1,male,56.0,0,0,30.6958,A7,C,Mr
77,1,male,37.0,1,1,83.1583,E52,C,Mr
1225,3,male,60.5,0,0,,,S,Mr
452,2,female,29.0,1,0,26.0,,S,Mrs
895,3,female,1.0,1,1,11.1333,,S,Miss
900,3,male,,1,2,23.45,,S,Master
914,3,male,33.0,0,0,7.8542,,S,Mr
580,2,female,31.0,0,0,21.0,,S,Mrs
1080,3,male,,0,0,7.75,,Q,Mr
1249,3,male,,0,0,7.75,F38,Q,Mr
88,1,female,33.0,0,0,151.55,,S,Miss
501,2,female,13.0,0,1,19.5,,S,Miss
588,2,female,4.0,1,1,23.0,,S,Miss
402,2,female,30.0,1,0,13.8583,,C,Miss
1193,3,male,,0,0,7.725,,Q,Mr
686,3,female,22.0,0,0,7.725,,Q,Miss
971,3,male,,0,0,7.8792,,Q,Mr
117,1,female,30.0,0,0,56.9292,E36,C,Miss
540,2,female,2.0,1,1,26.0,,S,Miss
294,1,male,49.0,1,1,110.8833,C68,C,Mr
261,1,male,35.0,0,0,26.2875,E24,S,Mr
587,2,male,2.0,1,1,23.0,,S,Master
489,2,female,42.0,1,0,26.0,,S,Mrs
2,1,female,2.0,1,2,151.55,C22,S,Miss
405,2,male,18.0,0,0,13.0,,S,Mr
1284,3,male,,0,0,8.05,,S,Mr
338,2,male,28.0,0,0,26.0,,S,Mr
356,2,male,25.0,0,0,13.0,,S,Mr
985,3,male,24.0,0,0,7.1417,,S,Mr
182,1,female,30.0,0,0,106.425,,C,Miss
1027,3,male,,0,0,8.05,,S,Mr
1023,3,female,,0,0,7.8792,,Q,Miss
657,3,female,0.75,2,1,19.2583,,C,Miss
891,3,male,33.0,0,0,8.6542,,S,Mr
716,3,male,26.0,1,0,14.4542,,C,Mr
1142,3,male,4.0,4,1,29.125,,Q,Master
520,2,male,20.0,0,0,13.8625,D38,C,Mr
1267,3,female,30.0,1,1,24.15,,S,Mrs
395,2,female,18.0,0,1,23.0,,S,Miss
905,3,male,32.0,0,0,7.8542,,S,Mr
278,1,male,32.0,0,0,30.5,B50,C,Other
239,1,male,31.0,0,0,50.4958,A24,S,Mr
1254,3,male,25.0,0,0,0.0,,S,Mr
1084,3,male,42.0,0,1,8.4042,,S,Mr
110,1,male,30.0,0,0,27.75,C111,C,Mr
1255,3,male,,0,0,7.2292,,C,Mr
1306,3,male,26.5,0,0,7.225,,C,Mr
822,3,male,41.0,0,0,7.85,,S,Mr
1114,3,male,,0,0,7.0,,S,Mr
1110,3,male,32.0,0,0,7.8958,,S,Mr
1048,3,female,1.0,0,2,15.7417,,C,Miss
1034,3,male,,1,1,15.2458,,C,Master
568,2,male,18.5,0,0,13.0,F,S,Mr
615,3,male,20.0,0,0,7.925,,S,Mr
840,3,female,24.0,0,0,8.85,,S,Miss
367,2,male,52.0,0,0,13.5,,S,Mr
655,3,male,32.0,1,0,15.85,,S,Mr
1295,3,male,21.0,0,0,7.25,,S,Mr
384,2,male,,0,0,0.0,,S,Mr
200,1,male,46.0,0,0,75.2417,C6,C,Mr
279,1,male,62.0,0,0,26.55,C87,S,Mr
65,1,female,33.0,1,0,53.1,E8,S,Mrs
481,2,female,22.0,1,2,41.5792,,C,Mrs
619,3,male,18.0,0,0,8.3,,S,Mr
892,3,male,31.0,0,0,7.775,,S,Mr
272,1,female,23.0,1,0,82.2667,B45,S,Mrs
1137,3,male,,0,0,7.2292,,C,Mr
581,2,male,,0,0,0.0,,S,Mr
165,1,male,38.0,1,0,90.0,C93,S,Mr
761,3,male,16.0,0,0,9.5,,S,Mr
998,3,male,,0,0,7.8958,,C,Mr
592,2,male,36.0,1,2,27.75,,S,Mr
947,3,female,22.0,0,0,7.25,,S,Miss
997,3,female,,0,0,7.225,,C,Mrs
1174,3,female,,8,2,69.55,,S,Miss
921,3,male,,0,0,7.25,,S,Mr
1281,3,male,22.0,0,0,9.0,,S,Mr
188,1,female,51.0,0,1,39.4,D28,S,Mrs
40,1,male,,0,0,39.6,,C,Other
783,3,male,24.0,0,0,7.55,,S,Mr
824,3,male,38.0,0,0,7.05,,S,Mr
724,3,male,31.0,0,0,7.75,,Q,Mr
1036,3,female,,0,2,15.2458,,C,Mrs
316,1,male,51.0,0,1,61.3792,,C,Mr
214,1,female,23.0,1,0,113.275,D36,C,Miss
1129,3,male,25.0,1,0,7.775,,S,Mr
1203,3,male,40.0,0,0,7.8958,,S,Mr
644,3,male,40.0,1,5,31.3875,,S,Mr
362,2,female,35.0,0,0,21.0,,S,Miss
1205,3,female,18.0,0,0,7.4958,,S,Miss
260,1,female,40.0,0,0,153.4625,C125,S,Miss
19,1,male,36.0,0,0,75.2417,C6,C,Mr
255,1,female,24.0,0,0,69.3,B35,C,Other
30,1,male,45.0,0,0,35.5,T,S,Mr
1273,3,female,18.0,2,0,18.0,,S,Miss
687,3,female,20.0,0,0,7.8542,,S,Miss
230,1,female,30.0,0,0,93.5,B73,S,Miss
464,2,male,32.0,0,0,10.5,,S,Mr
1156,3,female,2.0,1,1,20.2125,,S,Miss
674,3,male,32.0,0,0,56.4958,,S,Mr
253,1,female,48.0,1,3,262.375,B57,C,Mrs
1271,3,male,28.0,0,0,9.5,,S,Mr
1039,3,female,,0,0,7.7333,,Q,Miss
629,3,male,39.0,1,5,31.275,,S,Mr
731,3,male,19.0,0,0,7.8958,,S,Mr
1232,3,male,16.0,0,0,8.05,,S,Mr
553,2,female,21.0,0,0,10.5,,S,Miss
264,1,male,56.0,0,0,35.5,A26,C,Other
363,2,male,,0,0,0.0,,S,Mr
1181,3,male,24.0,0,0,9.325,,S,Mr
101,1,male,39.0,0,0,29.7,A18,C,Mr
981,3,male,32.0,0,0,7.5792,,S,Mr
877,3,female,27.0,1,0,7.925,,S,Miss
764,3,male,26.0,1,2,20.575,,S,Mr
1105,3,male,14.0,4,1,39.6875,,S,Mr
922,3,female,,0,0,7.75,,Q,Miss
315,1,female,21.0,0,0,26.55,,S,Miss
780,3,female,23.0,0,0,8.05,,S,Miss
982,3,male,,0,0,7.8958,,S,Mr
993,3,female,,0,0,7.7375,,Q,Miss
1268,3,male,,0,0,9.5,,S,Mr
54,1,male,11.0,1,2,120.0,B96,S,Master
748,3,male,34.0,1,1,14.4,,S,Mr
974,3,male,30.0,1,0,16.1,,S,Mr
1178,3,male,,8,2,69.55,,S,Mr
487,2,male,61.0,0,0,12.35,,Q,Mr
775,3,male,,0,0,7.2292,,C,Mr
471,2,female,45.0,0,0,13.5,,S,Mrs
1188,3,female,24.0,0,2,16.7,G6,S,Mrs
975,3,female,26.0,1,0,16.1,,S,Mrs
495,2,male,,0,0,15.5792,,C,Mr
754,3,male,21.0,2,0,24.15,,S,Mr
787,3,male,16.0,0,0,7.775,,S,Mr
1079,3,female,22.0,0,0,7.775,,S,Miss
940,3,male,,0,0,7.8958,,C,Mr
366,2,male,54.0,1,0,26.0,,S,Other
784,3,male,23.0,1,0,13.9,,S,Mr
901,3,female,,1,2,23.45,,S,Miss
930,3,male,,1,0,7.75,,Q,Mr
206,1,male,44.0,2,0,90.0,C78,Q,Other
79,1,female,55.0,2,0,25.7,C101,S,Mrs
190,1,female,21.0,0,0,77.9583,D9,S,Miss
492,2,male,1.0,0,2,37.0042,,C,Master
926,3,male,,0,0,7.75,,Q,Mr
145,1,male,48.0,1,0,76.7292,D33,C,Mr
318,1,male,,0,0,35.0,C128,S,Mr
654,3,male,20.0,0,0,7.225,,C,Mr
457,2,male,33.0,0,0,12.275,,S,Mr
144,1,female,25.0,1,0,55.4417,E50,C,Mrs
864,3,female,28.0,0,0,7.775,,S,Miss
912,3,male,30.0,0,0,7.8958,,S,Mr
546,2,female,28.0,0,0,13.0,,S,Other
634,3,male,26.0,0,0,7.8958,,S,Mr
983,3,male,,0,0,7.55,,S,Mr
83,1,female,64.0,1,1,26.55,B26,S,Mrs
154,1,male,55.0,1,1,93.5,B69,S,Mr
801,3,male,,0,0,7.75,,Q,Mr
1026,3,female,27.0,0,1,12.475,E121,S,Mrs
1190,3,male,25.0,0,0,9.5,,S,Mr
127,1,female,35.0,1,0,53.1,C123,S,Mrs
1293,3,male,,0,0,8.05,,S,Mr
403,2,male,23.0,0,0,13.0,,S,Mr
150,1,male,40.0,0,0,0.0,B94,S,Mr
712,3,male,24.0,0,0,8.05,,S,Mr
413,2,male,38.0,1,0,21.0,,S,Mr
711,3,male,28.0,0,0,7.25,,S,Mr
1227,3,female,22.0,0,0,9.8375,,S,Miss
1069,3,male,,1,0,15.5,,Q,Mr
729,3,male,35.0,0,0,7.8958,,S,Mr
999,3,female,,0,0,7.75,,Q,Miss
1056,3,male,12.0,1,0,11.2417,,C,Master
352,2,female,40.0,1,1,39.0,,S,Mrs
95,1,female,54.0,1,1,81.8583,A34,S,Mrs
37,1,male,,0,0,26.55,,S,Mr
485,2,male,36.0,0,0,12.875,D,C,Mr
143,1,male,25.0,1,0,55.4417,E50,C,Mr
662,3,male,40.0,0,0,7.225,,C,Mr
158,1,male,55.0,0,0,50.0,C39,S,Mr
552,2,male,19.0,0,0,10.5,,S,Mr
652,3,male,23.0,0,0,7.8542,,S,Mr
953,3,male,22.0,0,0,7.225,,C,Mr
867,3,female,22.0,1,1,12.2875,,S,Mrs
728,3,male,43.0,0,0,8.05,,S,Mr
236,1,male,22.0,0,0,135.6333,,C,Mr
222,1,male,28.5,0,0,27.7208,D43,C,Mr
1147,3,female,22.0,0,0,39.6875,,S,Miss
950,3,male,29.0,0,0,9.4833,,S,Mr
752,3,male,24.0,2,0,24.15,,S,Mr
704,3,male,21.0,0,0,8.05,,S,Mr
578,2,male,30.0,1,0,21.0,,S,Mr
62,1,male,46.0,1,0,61.175,E31,S,Mr
193,1,female,15.0,0,1,211.3375,B5,S,Miss
235,1,male,,0,0,39.6,,S,Mr
181,1,female,49.0,0,0,25.9292,D17,S,Other
713,3,male,21.0,0,0,7.7333,,Q,Mr
521,2,female,29.0,0,0,10.5,F33,S,Mrs
661,3,female,18.0,0,0,8.05,,S,Miss
943,3,female,37.0,0,0,9.5875,,S,Miss
583,2,female,40.0,0,0,15.75,,S,Mrs
382,2,female,,0,0,21.0,,S,Mrs
1246,3,male,,1,0,16.1,,S,Mr
1212,3,male,,0,0,7.8958,,S,Mr
331,2,male,18.0,0,0,11.5,,S,Mr
262,1,male,50.0,1,0,55.9,E44,S,Mr
6,1,female,63.0,1,0,77.9583,D7,S,Miss
266,1,male,56.0,0,0,26.55,,S,Mr
38,1,male,41.0,0,0,30.5,A21,S,Mr
1269,3,male,33.0,0,0,9.5,,S,Mr
545,2,female,30.0,3,0,21.0,,S,Mrs
118,1,male,,0,0,26.55,D34,S,Mr
621,3,female,19.0,1,0,7.8542,,S,Miss
105,1,female,36.0,0,0,31.6792,A29,C,Miss
1064,3,male,39.0,0,0,7.925,,S,Mr
484,2,female,34.0,0,0,10.5,F33,S,Mrs
899,3,female,27.0,0,2,11.1333,,S,Mrs
20,1,male,37.0,1,1,52.5542,D35,S,Mr
242,1,female,33.0,0,0,27.7208,A11,C,Miss
50,1,female,58.0,0,1,512.3292,B51,C,Mrs
162,1,male,42.0,1,0,52.0,,S,Mr
830,3,male,14.0,5,2,46.9,,S,Mr
746,3,male,29.0,0,0,7.75,,Q,Mr
848,3,male,41.0,2,0,14.1083,,S,Mr
301,1,male,47.0,0,0,34.0208,D46,S,Mr
172,1,male,50.0,0,0,26.0,E60,S,Mr
884,3,male,48.0,0,0,7.8542,,S,Mr
1132,3,male,,0,0,7.8958,,S,Mr
1296,3,male,27.0,0,0,8.6625,,S,Mr
